A,B,M.AB,M.BA,K.AB,K.BA,COF.AB,COF.BA
0,0,0.083,0.083,4,4,0.5,0.5
0,0.05,0.083,0.084,4.01,4.04,0.504,0.5
0,0.1,0.082,0.086,4.03,4.15,0.513,0.499
0,0.15,0.081,0.089,4.07,4.32,0.528,0.498
0,0.2,0.079,0.093,4.12,4.56,0.548,0.495
0,0.25,0.077,0.097,4.18,4.88,0.573,0.491
0.05,0.05,0.084,0.084,4.05,4.05,0.503,0.503
0.05,0.1,0.083,0.086,4.07,4.15,0.513,0.503
0.05,0.15,0.081,0.089,4.11,4.33,0.528,0.501
0.05,0.2,0.08,0.092,4.16,4.58,0.548,0.499
0.05,0.25,0.078,0.096,4.22,4.89,0.573,0.494
0.1,0.1,0.085,0.085,4.18,4.18,0.513,0.513
0.1,0.15,0.083,0.088,4.22,4.36,0.528,0.511
0.1,0.2,0.082,0.091,4.27,4.61,0.548,0.508
0.1,0.25,0.08,0.095,4.34,4.93,0.573,0.504
0.15,0.15,0.086,0.086,4.4,4.4,0.526,0.526
0.15,0.2,0.084,0.09,4.46,4.65,0.546,0.523
0.15,0.25,0.083,0.094,4.53,4.98,0.571,0.519
0.2,0.2,0.088,0.088,4.72,4.72,0.543,0.543
0.2,0.25,0.086,0.092,4.79,5.05,0.568,0.539
0.25,0.25,0.09,0.09,5.14,5.14,0.563,0.563

